2020-08-16 19:07:27.6654|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 19:07:27.8378||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:07:27.8378||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:07:27.8471||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:07:27.8471||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:07:27.8609||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:07:27.8609||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:01.8539|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 19:13:02.0213||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:02.0213||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:02.0317||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:02.0317||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:02.0317||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:02.0317||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6296||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6296||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6412||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6412||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6602||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:04.6602||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.5761||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.5862||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.5945||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.5945||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.6102||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:05.6102||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1617||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1750||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1750||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1869||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1869||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:13:06.1869||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.0115|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 19:14:48.3793||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.3897||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.3897||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.3897||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.3897||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:14:48.3897||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.4089|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 19:15:32.5841||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.5930||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.5930||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.5930||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.5930||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:15:32.6108||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9558||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9675||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9675||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9840||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9840||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:44.9840||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:53.1942||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 19:17:53.2251||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
